               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065388,            0.020442,            0.029486,             0.78736,             0.52982,             0.59214,             0.31664,             0.03789,           0.0074024,             0.01264,             0.00284,             0.00284,             0.07444
                   1,            0.047411,            0.014332,            0.012177,             0.50795,             0.64803,             0.57044,             0.27556,            0.037208,            0.006716,            0.015641,           0.0056897,           0.0056897,             0.04879
                   2,            0.043878,            0.013508,            0.010118,             0.60287,             0.55018,             0.58654,             0.25021,             0.03739,           0.0065447,            0.016789,           0.0085381,           0.0085381,            0.023138
                   3,            0.042884,            0.014077,            0.010652,             0.75167,             0.42592,             0.47062,             0.23457,            0.039756,           0.0082809,            0.024743,            0.009995,            0.009995,            0.009995
                   4,            0.039517,            0.013899,           0.0096498,             0.48741,             0.43542,             0.44517,             0.19544,            0.042329,           0.0076947,            0.025954,            0.009995,            0.009995,            0.009995
                   5,            0.037429,            0.013485,           0.0088216,             0.66753,             0.65507,             0.65534,              0.3726,            0.032299,           0.0062141,            0.014537,           0.0099911,           0.0099911,           0.0099911
                   6,            0.036138,            0.013079,           0.0074276,             0.76998,             0.63931,             0.72199,             0.39021,            0.033101,            0.006328,           0.0082868,           0.0099861,           0.0099861,           0.0099861
                   7,            0.034876,            0.012883,           0.0067635,             0.82175,              0.7437,             0.80174,             0.46655,            0.028075,           0.0056354,           0.0045591,             0.00998,             0.00998,             0.00998
                   8,            0.033891,            0.012763,           0.0068296,             0.77999,             0.73947,             0.81015,             0.48469,            0.027432,           0.0055645,           0.0043682,           0.0099728,           0.0099728,           0.0099728
                   9,            0.032929,            0.012612,           0.0062807,             0.77154,             0.73139,             0.76538,             0.47778,            0.027423,           0.0055748,           0.0068869,           0.0099645,           0.0099645,           0.0099645
                  10,            0.032535,            0.012482,            0.005864,             0.80269,             0.71896,             0.78692,             0.45876,            0.028558,           0.0058537,           0.0085995,           0.0099551,           0.0099551,           0.0099551
                  11,            0.032377,            0.012212,           0.0056208,             0.85676,             0.80205,             0.85827,             0.52997,            0.026333,           0.0052729,           0.0041475,           0.0099446,           0.0099446,           0.0099446
                  12,            0.031743,             0.01214,           0.0051849,             0.74095,             0.79906,             0.81564,             0.51071,            0.026445,           0.0053928,           0.0048894,            0.009933,            0.009933,            0.009933
                  13,            0.030751,            0.012093,           0.0048787,             0.84446,             0.80849,             0.84641,               0.531,            0.025336,           0.0051947,           0.0038904,           0.0099203,           0.0099203,           0.0099203
                  14,            0.030801,            0.011986,           0.0049738,               0.817,             0.78223,             0.82582,             0.50603,            0.026063,           0.0053448,           0.0039934,           0.0099065,           0.0099065,           0.0099065
                  15,            0.030278,             0.01179,           0.0045936,             0.82962,             0.80565,              0.8557,             0.53153,             0.02482,            0.005207,             0.00276,           0.0098916,           0.0098916,           0.0098916
                  16,            0.029974,            0.011606,           0.0041827,             0.82707,             0.78103,             0.81077,             0.52543,             0.02477,           0.0052331,           0.0058535,           0.0098757,           0.0098757,           0.0098757
                  17,            0.029812,            0.011768,           0.0048836,             0.85474,             0.77751,             0.85068,             0.55833,            0.024367,           0.0051377,           0.0030721,           0.0098586,           0.0098586,           0.0098586
                  18,            0.029267,            0.011664,           0.0042546,             0.85411,             0.77225,             0.83639,             0.52762,            0.025111,           0.0053772,           0.0038797,           0.0098405,           0.0098405,           0.0098405
                  19,            0.029471,            0.011613,            0.003739,             0.82692,             0.79717,             0.85138,                0.55,            0.024476,            0.005228,           0.0029555,           0.0098213,           0.0098213,           0.0098213
                  20,            0.028757,            0.011686,           0.0039095,             0.87724,             0.78278,             0.85974,             0.55486,            0.024471,           0.0050399,            0.002188,           0.0098011,           0.0098011,           0.0098011
                  21,            0.028684,            0.011393,           0.0037691,             0.85919,             0.80649,             0.86887,              0.5628,             0.02449,           0.0050907,           0.0029262,           0.0097798,           0.0097798,           0.0097798
                  22,            0.028605,            0.011461,           0.0035473,             0.84473,              0.8148,             0.84875,             0.55013,            0.024587,           0.0051682,           0.0037694,           0.0097574,           0.0097574,           0.0097574
                  23,            0.027742,            0.011292,           0.0038316,             0.83932,             0.82255,             0.85059,             0.54879,             0.02391,           0.0050771,           0.0032737,            0.009734,            0.009734,            0.009734
                  24,            0.028043,            0.011068,           0.0034236,             0.81842,             0.80745,             0.84643,             0.56484,            0.023672,           0.0051402,            0.003776,           0.0097095,           0.0097095,           0.0097095
                  25,            0.027796,            0.011237,           0.0034619,             0.82372,             0.82646,              0.8417,              0.5408,            0.024372,           0.0050664,           0.0035724,            0.009684,            0.009684,            0.009684
                  26,             0.02731,            0.011041,           0.0031385,             0.81251,             0.82643,              0.8637,              0.5451,            0.024289,           0.0050526,           0.0029442,           0.0096575,           0.0096575,           0.0096575
                  27,            0.027041,             0.01101,            0.003268,             0.80558,             0.80351,             0.82346,             0.54137,            0.023733,           0.0051569,           0.0043567,           0.0096299,           0.0096299,           0.0096299
                  28,            0.027289,            0.011083,           0.0033969,             0.82982,             0.83036,             0.85743,             0.55684,             0.02376,           0.0051103,           0.0032298,           0.0096013,           0.0096013,           0.0096013
                  29,            0.026898,            0.011159,           0.0031089,             0.87681,             0.79023,             0.86352,             0.57064,            0.023749,           0.0050582,           0.0041165,           0.0095717,           0.0095717,           0.0095717
                  30,            0.026928,            0.010932,            0.003064,             0.85765,             0.83659,             0.87678,             0.57137,            0.023557,            0.005022,           0.0025235,           0.0095411,           0.0095411,           0.0095411
                  31,            0.026824,            0.010992,           0.0029899,             0.86943,             0.81192,             0.87947,             0.58035,            0.023292,           0.0050129,             0.00283,           0.0095095,           0.0095095,           0.0095095
                  32,            0.026757,            0.011052,            0.002702,             0.90393,             0.78442,             0.87522,             0.58512,            0.023264,           0.0049677,           0.0035797,           0.0094769,           0.0094769,           0.0094769
                  33,            0.026922,            0.010744,           0.0025565,             0.85763,             0.82662,              0.8685,              0.5796,            0.022988,           0.0049862,           0.0037993,           0.0094434,           0.0094434,           0.0094434
                  34,            0.026698,            0.010784,           0.0027524,             0.87664,              0.8349,              0.8791,             0.58009,            0.023365,           0.0050144,           0.0022741,           0.0094088,           0.0094088,           0.0094088
                  35,            0.026359,             0.01084,            0.002889,             0.84751,             0.83511,             0.87513,             0.58367,            0.023113,           0.0049387,           0.0016328,           0.0093733,           0.0093733,           0.0093733
                  36,            0.026119,            0.010607,           0.0026129,             0.83369,             0.82618,             0.87028,             0.58337,            0.022719,           0.0050053,           0.0022199,           0.0093369,           0.0093369,           0.0093369
                  37,            0.026175,            0.010862,           0.0027249,             0.84743,             0.83293,              0.8622,             0.58369,            0.023213,           0.0050476,           0.0022888,           0.0092995,           0.0092995,           0.0092995
                  38,            0.025702,            0.010709,           0.0026531,             0.81575,             0.83756,             0.85617,             0.57958,            0.023299,           0.0050309,           0.0024731,           0.0092611,           0.0092611,           0.0092611
                  39,            0.025829,            0.010448,           0.0026932,             0.83949,             0.82469,             0.85627,             0.58398,            0.022822,           0.0049538,           0.0041284,           0.0092219,           0.0092219,           0.0092219
                  40,            0.025817,            0.010268,           0.0024508,             0.87151,             0.79744,             0.86851,              0.5788,            0.023119,           0.0050864,           0.0032332,           0.0091817,           0.0091817,           0.0091817
                  41,            0.025809,            0.010439,           0.0025709,             0.88352,             0.81673,             0.88696,             0.59799,            0.022657,           0.0049129,           0.0019203,           0.0091406,           0.0091406,           0.0091406
                  42,            0.024961,            0.010493,           0.0023276,             0.90525,             0.82393,             0.89002,             0.58603,               0.023,           0.0050303,           0.0021466,           0.0090986,           0.0090986,           0.0090986
                  43,            0.024962,            0.010411,           0.0023705,             0.89145,             0.83616,             0.89934,              0.6055,            0.022498,           0.0049898,            0.002108,           0.0090557,           0.0090557,           0.0090557
                  44,             0.02509,             0.01047,           0.0021448,              0.8623,             0.83888,             0.88761,             0.59853,            0.022402,           0.0048835,           0.0017239,           0.0090119,           0.0090119,           0.0090119
                  45,            0.025091,            0.010396,           0.0021995,             0.86321,             0.84396,             0.89176,             0.59054,             0.02244,           0.0050056,           0.0014833,           0.0089673,           0.0089673,           0.0089673
                  46,            0.024675,            0.010234,           0.0021517,             0.87609,             0.84532,             0.88673,             0.58406,            0.022325,           0.0050856,           0.0017069,           0.0089218,           0.0089218,           0.0089218
                  47,            0.024718,            0.010246,           0.0022065,             0.88077,             0.83859,             0.88275,             0.59604,            0.022597,           0.0050374,           0.0020164,           0.0088755,           0.0088755,           0.0088755
                  48,            0.024655,            0.010393,           0.0022069,             0.88687,             0.82229,             0.88357,             0.59888,            0.022191,           0.0049702,           0.0021675,           0.0088283,           0.0088283,           0.0088283
                  49,            0.024615,            0.010282,           0.0020446,             0.87094,             0.81251,             0.86851,             0.58851,            0.022647,           0.0050657,           0.0024983,           0.0087804,           0.0087804,           0.0087804
                  50,            0.024716,            0.010307,           0.0024596,             0.84683,             0.83955,             0.87682,             0.59415,            0.022168,           0.0050421,           0.0020849,           0.0087316,           0.0087316,           0.0087316
                  51,            0.024432,            0.010211,           0.0020603,              0.8736,              0.8436,             0.88611,             0.60789,            0.021838,           0.0049657,           0.0016401,            0.008682,            0.008682,            0.008682
                  52,            0.024778,            0.010188,           0.0021894,             0.86763,             0.82994,             0.86862,             0.59974,            0.022061,           0.0050539,           0.0012079,           0.0086316,           0.0086316,           0.0086316
                  53,            0.024326,            0.010108,           0.0021066,             0.87772,             0.83369,             0.88271,             0.59974,            0.022251,           0.0049699,           0.0014852,           0.0085805,           0.0085805,           0.0085805
                  54,            0.024266,            0.010008,           0.0018399,             0.89116,             0.81526,             0.88725,              0.6065,            0.022082,           0.0049526,           0.0014726,           0.0085286,           0.0085286,           0.0085286
                  55,            0.023875,            0.010102,           0.0021554,             0.85717,             0.86306,             0.89552,             0.60902,             0.02206,           0.0049002,           0.0017175,           0.0084759,           0.0084759,           0.0084759
                  56,            0.023912,           0.0099356,           0.0020133,              0.8797,             0.82495,             0.88611,             0.60391,            0.022779,           0.0049997,           0.0028559,           0.0084225,           0.0084225,           0.0084225
                  57,            0.024068,           0.0099484,           0.0019473,             0.88587,             0.82823,             0.88898,             0.61276,            0.022233,           0.0048833,           0.0013722,           0.0083684,           0.0083684,           0.0083684
                  58,            0.023687,             0.01001,            0.002256,             0.88102,             0.83321,             0.89692,             0.61753,            0.022269,           0.0049842,           0.0016234,           0.0083136,           0.0083136,           0.0083136
                  59,            0.023862,            0.010094,            0.001941,              0.8536,             0.84851,             0.87384,             0.60062,            0.021856,           0.0048534,           0.0017554,           0.0082581,           0.0082581,           0.0082581
                  60,            0.023824,           0.0098633,           0.0017785,             0.86419,             0.84187,             0.88291,             0.60771,             0.02192,           0.0049402,           0.0014624,           0.0082019,           0.0082019,           0.0082019
                  61,            0.023646,           0.0098934,           0.0021524,             0.87686,             0.81033,             0.87925,             0.60845,            0.022395,           0.0049692,           0.0020118,            0.008145,            0.008145,            0.008145
                  62,            0.023008,           0.0096666,           0.0016352,             0.90033,             0.82111,             0.88722,              0.6067,            0.021864,           0.0049239,           0.0013781,           0.0080875,           0.0080875,           0.0080875
                  63,            0.023138,            0.009823,           0.0019678,             0.86615,             0.86161,             0.88933,             0.59956,            0.022008,            0.004973,           0.0021588,           0.0080294,           0.0080294,           0.0080294
                  64,            0.023213,           0.0097196,           0.0018588,             0.87138,             0.82875,             0.88395,             0.60724,            0.022141,            0.004903,           0.0015131,           0.0079706,           0.0079706,           0.0079706
                  65,            0.023013,           0.0096432,           0.0019803,             0.85482,             0.85013,             0.89045,             0.60814,             0.02181,           0.0049662,           0.0020561,           0.0079112,           0.0079112,           0.0079112
                  66,            0.022892,           0.0096097,           0.0018152,             0.87328,             0.82476,             0.87918,             0.61397,            0.021648,           0.0049282,           0.0021653,           0.0078512,           0.0078512,           0.0078512
                  67,            0.022684,            0.009582,           0.0016558,             0.88981,              0.8495,             0.90208,              0.6204,            0.021886,           0.0048545,            0.001707,           0.0077907,           0.0077907,           0.0077907
                  68,             0.02291,           0.0095696,           0.0018957,             0.86008,             0.86983,             0.89982,             0.61864,            0.022133,           0.0049439,           0.0014124,           0.0077296,           0.0077296,           0.0077296
                  69,            0.022744,           0.0098525,           0.0017064,             0.90204,             0.81294,             0.87767,             0.61264,             0.02165,           0.0049447,           0.0020274,           0.0076679,           0.0076679,           0.0076679
                  70,            0.022299,            0.009577,           0.0014246,             0.87761,             0.82128,             0.88137,             0.61152,             0.02172,           0.0048539,           0.0018412,           0.0076057,           0.0076057,           0.0076057
                  71,            0.022558,           0.0094041,           0.0017164,             0.88379,             0.83469,             0.87583,             0.60904,             0.02204,           0.0049386,           0.0012276,            0.007543,            0.007543,            0.007543
                  72,            0.022427,           0.0097131,           0.0017097,             0.86751,             0.83233,              0.8765,             0.61455,             0.02162,           0.0049793,           0.0019305,           0.0074797,           0.0074797,           0.0074797
                  73,            0.022474,           0.0096496,           0.0019072,             0.85399,             0.85318,             0.89187,              0.6107,            0.021675,           0.0049398,           0.0017975,            0.007416,            0.007416,            0.007416
                  74,            0.022329,           0.0093218,           0.0014768,             0.91785,             0.83084,              0.8946,             0.61985,            0.021564,           0.0050091,            0.001476,           0.0073518,           0.0073518,           0.0073518
                  75,            0.022121,           0.0093734,           0.0015285,             0.87506,             0.83835,             0.88198,             0.60963,            0.021801,           0.0050031,           0.0015313,           0.0072872,           0.0072872,           0.0072872
                  76,            0.022286,           0.0094355,           0.0017409,             0.89864,             0.83638,             0.89076,             0.61565,            0.021942,           0.0049752,           0.0013489,           0.0072221,           0.0072221,           0.0072221
                  77,            0.021769,           0.0092419,           0.0016012,             0.85173,             0.85742,             0.88262,             0.61631,            0.021758,           0.0049693,           0.0018669,           0.0071566,           0.0071566,           0.0071566
                  78,            0.022118,           0.0091903,            0.001549,             0.88728,             0.86398,             0.89063,             0.61782,            0.021731,           0.0050544,           0.0017067,           0.0070906,           0.0070906,           0.0070906
                  79,            0.021722,           0.0092439,           0.0014184,             0.87411,             0.83493,             0.87834,             0.61729,            0.022023,           0.0050074,           0.0017832,           0.0070243,           0.0070243,           0.0070243
                  80,            0.021607,           0.0092726,           0.0011787,             0.86466,             0.84795,             0.88135,             0.62105,            0.022007,           0.0049244,           0.0016826,           0.0069576,           0.0069576,           0.0069576
                  81,             0.02146,           0.0089835,           0.0014559,             0.89717,              0.8231,             0.88012,             0.61021,            0.021933,           0.0050921,           0.0020868,           0.0068906,           0.0068906,           0.0068906
                  82,            0.021591,           0.0089691,           0.0013707,             0.87712,             0.83692,             0.88044,             0.60712,            0.022226,           0.0051857,           0.0022163,           0.0068232,           0.0068232,           0.0068232
                  83,            0.021161,            0.009034,           0.0014292,             0.87267,             0.84514,             0.88434,             0.61737,             0.02162,           0.0050364,           0.0011864,           0.0067555,           0.0067555,           0.0067555
                  84,            0.021548,           0.0090908,           0.0014531,             0.86873,             0.84951,             0.88946,             0.62418,             0.02147,           0.0049436,           0.0020695,           0.0066874,           0.0066874,           0.0066874
                  85,            0.021222,           0.0089739,           0.0016605,             0.89786,              0.8323,             0.88745,             0.62152,            0.021633,           0.0050115,           0.0013217,           0.0066191,           0.0066191,           0.0066191
                  86,            0.021343,            0.009133,           0.0014233,             0.87873,             0.83678,             0.88271,             0.61876,             0.02167,           0.0048987,           0.0015372,           0.0065505,           0.0065505,           0.0065505
                  87,            0.021053,           0.0089397,           0.0013027,             0.90841,             0.85354,             0.90975,             0.63012,            0.021736,           0.0049854,          0.00097264,           0.0064816,           0.0064816,           0.0064816
                  88,            0.021049,            0.009048,           0.0014594,             0.91282,             0.83234,             0.89522,             0.61821,            0.022018,           0.0050375,           0.0012532,           0.0064125,           0.0064125,           0.0064125
                  89,            0.020947,             0.00895,           0.0012251,             0.91146,             0.83013,             0.89221,             0.62037,            0.021931,           0.0050527,          0.00096554,           0.0063432,           0.0063432,           0.0063432
                  90,            0.020326,           0.0088184,           0.0011189,             0.90434,             0.84136,             0.88706,             0.61735,            0.021901,           0.0050899,           0.0018072,           0.0062737,           0.0062737,           0.0062737
                  91,            0.020549,           0.0087711,           0.0011693,             0.89748,             0.84223,             0.89229,             0.61474,             0.02209,           0.0051573,           0.0013745,            0.006204,            0.006204,            0.006204
                  92,            0.020588,           0.0089011,           0.0013269,             0.89031,             0.85375,             0.88933,             0.61685,            0.022011,            0.005209,           0.0016688,           0.0061341,           0.0061341,           0.0061341
